C_n,Fai_n,e2(input),v2(output),e3,v3,e4,v4,e5,v5
0,0,7.26E-02,1.69E-02,0.123982803,6.23E-03,9.39E-02,2.38E-03,0.157664756,6.10E-04
0,0,0.146449026,2.98E-02,8.66E-02,1.74E-03,0.22046402,5.29E-03,0.253112608,5.10E-03
0,0,0.101639337,2.98E-02,6.33E-02,6.17E-03,0.16748015,5.24E-03,4.80E-02,3.42E-03
0,0,9.20E-02,1.94E-02,0.107505176,4.46E-03,0.16075822,2.86E-03,9.75E-02,3.48E-03
0,0,5.08E-02,1.15E-02,0.200388909,2.43E-02,0.119785613,1.26E-03,6.79E-02,4.59E-03
0,0,9.05E-02,9.06E-03,6.26E-02,3.09E-03,0.244326831,1.45E-02,6.47E-02,5.12E-03
0,0,5.07E-02,5.16E-03,6.96E-02,6.87E-03,4.50E-02,3.13E-03,3.55E-02,4.92E-03
0,0,3.20E-02,1.89E-02,0.206292481,2.80E-02,8.88E-02,4.77E-03,0.243026687,2.61E-03
0,0,0.127548606,2.35E-02,0.129710388,8.85E-03,7.79E-02,8.09E-03,0.173802864,2.23E-04
0,0,8.82E-02,1.93E-02,0.106084181,1.40E-02,0.301464857,7.82E-03,9.25E-02,5.19E-03
0,0,9.07E-02,2.18E-02,9.53E-02,7.63E-03,0.131719312,2.49E-03,0.157992025,3.56E-03
0,0,5.02E-02,1.70E-02,3.70E-02,1.54E-03,0.105946214,8.14E-03,0.209941649,3.33E-03
0,0,3.78E-02,4.27E-03,8.34E-02,6.44E-03,0.12798353,7.34E-03,0.125009836,1.80E-03
0,0,0.150111741,2.53E-02,0.18420645,2.32E-02,9.12E-02,2.41E-03,0.171931043,4.75E-03
0,0,0.15675932,2.41E-02,0.200337231,1.31E-02,0.181656363,2.65E-03,5.60E-02,6.68E-03
0,0,0.253981707,4.47E-02,0.209560092,2.33E-02,0.175018203,4.40E-03,0.241497323,3.28E-03
0,0,0.187762065,2.18E-02,0.182818905,1.81E-02,0.106419612,5.47E-03,0.142462339,4.11E-03
0,0,0.228739714,4.81E-02,0.149910201,2.74E-02,0.285640904,6.56E-03,0.134069595,5.67E-03
0,0,0.147602616,2.49E-02,0.125485921,8.47E-03,0.249178353,4.97E-03,0.205044351,4.50E-03
0,0,7.96E-02,2.82E-02,1.04E-02,1.73E-02,0.164682922,1.34E-02,0.162126245,2.33E-03
0,0,0.144194625,2.88E-02,0.110943092,1.44E-02,4.94E-02,4.69E-03,0.122556773,3.45E-03
0,0,0.134110707,1.95E-02,8.49E-02,1.01E-02,8.76E-02,1.11E-02,0.181207206,2.27E-03
0,0,4.86E-02,1.92E-02,6.52E-02,5.19E-03,0.144170083,5.34E-03,0.101688452,3.84E-03
0,0,3.38E-02,1.78E-02,0.158346141,9.33E-03,0.144215908,1.09E-03,4.56E-02,2.02E-03
0,0,8.59E-02,2.25E-02,0.143331612,1.16E-02,0.216720336,5.93E-03,0.171858739,1.76E-03
0,0,0.129589178,2.01E-02,3.63E-02,8.34E-03,0.181503211,1.23E-02,8.62E-02,4.95E-03
