Column1;C_n;Fai_n;e2(input);v2(output);e3;v3;e4;v4;e5;v5
;0;0;7,95556E+14;2,82016E+14;1,04425E+14;1,73352E+14;1,64683E+16;1,3402E+14;1,62126E+16;2,32887E+13
;0;0;1,44195E+16;2,8767E+14;1,10943E+16;1,43932E+14;4,94399E+14;4,68747E+13;1,22557E+16;3,45129E+13
;0;0;1,34111E+16;1,94857E+14;8,49227E+14;1,009E+14;8,75757E+14;1,10904E+14;1,81207E+16;2,2694E+13
;0;0;4,86152E+14;1,92484E+14;6,51538E+14;5,18752E+13;1,4417E+16;5,34214E+13;1,01688E+16;3,84266E+13
;0;0;3,38419E+14;1,78017E+14;1,58346E+16;9,32715E+13;1,44216E+16;1,08753E+13;4,55872E+14;2,01761E+13
;0;0;8,58592E+14;2,25089E+14;1,43332E+16;1,16261E+14;2,1672E+16;5,92916E+13;1,71859E+16;1,75905E+13
;0;0;1,29589E+16;2,01107E+14;3,63182E+14;8,33506E+13;1,81503E+16;1,23059E+14;8,62163E+14;4,94883E+13
;0;0;1,47297E+14;1,11109E+14;9,30051E+14;7,65946E+13;1,19486E+16;6,47209E+13;7,24454E+14;4,06581E+13
;0;0;1,59751E+16;1,67149E+14;1,24755E+16;1,20302E+14;2,2063E+16;1,03085E+14;1,06126E+16;3,04772E+13
;0;0;1,78105E+16;3,11693E+14;1,16429E+16;1,60557E+14;1,57938E+16;1,10685E+14;9,29997E+14;1,00554E+13
;0;0;1,66275E+16;2,19907E+14;1,37205E+16;1,31428E+14;1,28844E+16;1,00246E+13;4,61418E+14;1,4331E+13
